idx,category,cd_l1,gt_b0,pred_b0,gt_b1,pred_b1,w2_h0,w2_h1,w1_h0,bd_h0,bd_h1,n_gt_h0,n_pred_h0,n_gt_h1,n_pred_h1,topo_error
66,sofa,7.126287557184696,1,1,0,0,0.0030448739119892424,0.005330850323539978,0.04803899840828976,0.00036177102979240237,0.0006534913888486347,256,256,614,821,0.00837572423552922
67,sofa,11.144956573843956,1,1,0,0,0.003281347296075407,0.005495183467421935,0.0509358627432626,0.0006608712736052014,0.0006857588949417086,256,256,703,815,0.008776530763497343
68,sofa,5.533820483833551,1,1,0,0,0.00032613258803100185,0.0010182982087994187,0.0038517541723078787,0.00018325181905303627,0.00044753510408156253,256,256,751,754,0.0013444307968304204
69,sofa,9.841608814895153,1,1,0,0,0.0005073347705381693,0.001991743005294342,0.0059473738148696845,0.00019655165300726252,0.00023657752869896522,256,256,857,829,0.0024990777758325112
70,sofa,12.719718739390373,1,1,0,0,0.008770527073885386,0.010066044754748007,0.1387150013993163,0.0008648603562719367,0.0012703368619097844,256,256,737,864,0.018836571828633394
71,sofa,15.674624592065811,1,1,0,0,0.006649523127871924,0.00715812618026327,0.10149272713553865,0.0010161351720197917,0.0011120047545272744,256,256,723,872,0.013807649308135194
72,sofa,8.396366611123085,1,1,0,0,0.0006824631976131717,0.0020654639557035905,0.007012888517036953,0.0004937878634820869,0.0003499570187474573,256,256,813,822,0.0027479271533167623
73,sofa,5.331607535481453,1,1,0,0,0.0003924805986809274,0.0014278037156423879,0.0037516274799626837,0.00020457297797434049,0.00043379790465902443,256,256,488,500,0.0018202843143233153
74,sofa,8.961005136370659,1,1,0,0,0.0017372046454954449,0.0025633044505789728,0.026260233795459498,0.00033859364679999105,0.000505832738875675,256,256,782,803,0.004300509096074418
75,sofa,8.432963863015175,1,1,0,0,0.0006343808327300983,0.0017195502942426505,0.008621173707251819,0.0001393059297730287,0.0005214694681095238,256,256,808,807,0.002353931126972749
76,sofa,11.446844786405563,1,1,0,0,0.005486466868048432,0.0086894799216458,0.08634280300839071,0.00048582692622853654,0.001359350729935243,256,256,650,844,0.014175946789694232
77,sofa,8.161356672644615,1,1,0,0,0.0018428344399359965,0.0025369309410459744,0.028880045093881968,0.0001777033299963371,0.00042918542481354925,256,256,628,773,0.004379765380981971
78,sofa,11.029304936528206,1,1,0,0,0.0018474717714992088,0.00407206179742024,0.01699087403700759,0.0015082287450600695,0.002299900752424462,256,256,664,678,0.005919533568919449
79,sofa,12.072029523551464,1,1,0,0,0.0023673199108207826,0.0037895185391144106,0.036242329747904416,0.0005302968097552208,0.0007731270678636368,256,256,710,811,0.006156838449935193
80,sofa,8.78460705280304,1,1,0,0,0.0009472649527187337,0.0017712047732609375,0.013685751994843525,0.0002192608489037795,0.0004197978904790542,256,256,807,841,0.002718469725979671
81,sofa,8.61264020204544,1,1,0,0,0.003640922407294184,0.004456092985302482,0.05792125361414654,0.00038606867753984697,0.0006205661548988766,256,256,637,798,0.008097015392596666
82,sofa,7.378881797194481,1,1,0,0,0.002097830291805471,0.00387647366639489,0.03149225923368193,0.0006336566358707699,0.0005634817189912061,256,256,666,770,0.005974303958200361
83,sofa,7.291275542229414,1,1,0,0,0.0013074155761454286,0.0023613883312276563,0.02048984287613152,0.0001501641921041602,0.0004908325403667163,256,256,690,773,0.0036688039073730846
84,sofa,7.981846109032631,1,1,0,0,0.00029218751956684426,0.0014795208142094434,0.003075968486384302,0.00011865612186505014,0.0002912418702429023,256,256,736,789,0.0017717083337762877
85,sofa,8.61630029976368,1,1,0,0,0.0033716038946675192,0.0038335551075927817,0.03825206175096116,0.0019011893487589971,0.0015818166738515115,256,256,731,756,0.0072051590022603005
86,sofa,8.613305166363716,1,1,0,0,0.0004614978142127354,0.0019714029119951505,0.005469678752102574,0.00014811247556455187,0.0002702682458711669,256,256,802,732,0.002432900726207886
87,sofa,6.37855613604188,1,1,0,0,0.0004522694747024482,0.001619185107364312,0.004905108428485914,0.00011802599705991457,0.0003561399058507643,256,256,826,798,0.00207145458206676
88,sofa,8.19717813283205,1,1,0,0,0.0006660463592889777,0.0024769426749629746,0.009793925320915688,0.00015583559519932386,0.0005191034935652728,256,256,764,824,0.0031429890342519525
89,sofa,10.7607776299119,1,1,0,0,0.0023369025886187224,0.003367955943084715,0.03634957956216525,0.0004542247633923522,0.0006826814022971479,256,256,617,836,0.0057048585317034375
90,sofa,10.289676487445831,1,1,0,0,0.0005142068612437634,0.0016958055193660624,0.0064831515114402265,6.496531953239376e-05,0.00029088229974055796,256,256,863,852,0.0022100123806098257
91,sofa,5.278414580971003,1,1,0,0,0.0004529173446068413,0.0009221329522610599,0.0065602595307464075,0.00013927798728506635,0.00019949563691367745,256,256,715,688,0.0013750502968679012
92,sofa,8.425559848546982,1,1,0,0,0.0013322881193290233,0.002292966638079314,0.01937293849844659,0.00020610909747348447,0.0002438884981268057,256,256,814,849,0.003625254757408337
